zeit	anzahl1	anzahl2	haeufigkeit
7.6383	2		
7.65831666666667	3		
7.67831666666667	1		
7.6983	1		
7.71831666666667	3		
7.73831666666667	0		
7.75831666666667	0		
7.77833333333333	3		
7.79831666666667	3		
7.81831666666667	1		
7.83831666666667	3		
7.85831666666667	2		
7.8783	1		
7.89831666666667	2		
7.91833333333333	1		
7.93831666666667	5		
7.9583	2		
7.97833333333333	2		
7.9983	0		
8.01831666666667	2		
8.03831666666667	1		
8.05831666666667	6		
8.07831666666667	2		
8.09831666666667	2		
8.11833333333333	1		
8.13831666666667	3		
8.1583	1		
8.1783	1		
8.19831666666667	2		
8.21831666666667	0		
8.2383	2		
8.25833333333333	1		
8.27833333333333	1		
8.29831666666667	2		
8.31831666666667	2		
8.33831666666667	3		
8.35831666666667	7		
8.37833333333333	5		
8.39831666666667	3		
8.41831666666667	1		
8.43831666666667	5		
8.45831666666667	4		
8.47831666666667	0		
8.49831666666667	4		
8.5183	2		
8.53831666666667	2		
8.55831666666667	4		
8.57831666666667	0		
8.59831666666667	1		
8.61831666666667	5		
8.63833333333333	1		
8.65831666666667	4		
8.67831666666667	0		
8.69831666666667	0		
8.71831666666667	2		
8.7383	3		
8.75833333333333	3		
8.77833333333333	4		
8.79831666666667	0		
8.81831666666667	2		
8.83831666666667	3		
8.85831666666667	2		
8.87833333333333	2		
8.89833333333333	2		
8.91831666666667	1		
8.9383	2		
8.95831666666667	2		
8.9783	3		
8.99831666666667	1		
9.01835	3		
9.03831666666667	2		
9.05831666666667	1		
9.07831666666667	0		
9.09831666666667	0		
9.11831666666667	2		
9.13831666666667	0		
9.15831666666667	3		
9.17831666666667	2		
9.19831666666667	3		
9.21831666666667	1		
9.23831666666667	3		
9.25831666666667	2		
9.2783	3		
9.29835	4		
9.31831666666667	2		
9.33831666666667	2		
9.35831666666667	3		
9.37831666666667	3		
9.39831666666667	4		
9.41833333333333	2		
9.43831666666667	4		
9.4583	6		
9.47831666666667	3		
9.49835	2		
9.5183	1		
9.53833333333333	5		
9.5583	4		
9.57831666666667	2		
9.59831666666667	5		
9.61831666666667	4		
9.63831666666667	3		
9.65833333333333	2		
9.6783	0		
9.69833333333333	8		
9.71831666666667	2		
9.7383	3		
9.75831666666667	2		
9.77831666666667	1		
9.79831666666667	1		
9.81831666666667	0		
9.83831666666667	3		
9.85831666666667	3		
9.87833333333333	0		
9.89831666666667	3		
9.91831666666667	1		
9.93831666666667	2		
9.95831666666667	3		
9.9783	2		
9.9983	1
