zeit	anzahl1	anzahl2	haeufigkeit
2.89331666666667	22		
2.91331666666667	14		
2.93331666666667	21		
2.95331666666667	12		
2.97331666666667	15		
2.99331666666667	14		
3.01331666666667	21		
3.03331666666667	14		
3.0533	12		
3.07331666666667	15		
3.0933	11		
3.11331666666667	15		
3.13331666666667	21		
3.15331666666667	22		
3.1733	19		
3.19333333333333	17		
3.21331666666667	10		
3.23331666666667	16		
3.2533	15		
3.2733	15		
3.29331666666667	12		
3.31333333333333	23		
3.33331666666667	18		
3.3533	12		
3.3733	16		
3.3933	18		
3.41331666666667	19		
3.43331666666667	13		
3.45331666666667	21		
3.4733	20		
3.49331666666667	25		
3.51331666666667	11		
3.53331666666667	15		
3.55331666666667	15		
3.57331666666667	10		
3.59333333333333	24		
3.61331666666667	17		
3.63331666666667	7		
3.65331666666667	18		
3.67331666666667	11		
3.6933	19		
3.71333333333333	17		
3.73331666666667	18		
3.7533	21		
3.77331666666667	23		
3.79333333333333	14		
3.81331666666667	17		
3.83331666666667	13		
3.85331666666667	18		
3.87331666666667	22		
3.8933	13		
3.91331666666667	16		
3.93331666666667	19		
3.95331666666667	17		
3.9733	17		
3.99331666666667	14		
4.01331666666667	13		
4.0333	17		
4.05331666666667	27		
4.07333333333333	19		
4.09333333333333	15		
4.11331666666667	16		
4.13331666666667	17		
4.15331666666667	20		
4.17331666666667	13		
4.19331666666667	16		
4.2133	17		
4.23331666666667	13		
4.2533	13		
4.27331666666667	23		
4.29331666666667	10		
4.31331666666667	21		
4.33165	11		
4.35165	14		
4.37165	9		
4.39165	21		
4.41165	12		
4.43165	22		
4.45165	13		
4.47165	16		
4.49165	19		
4.51165	13		
4.53163333333333	18		
4.55165	10		
4.57163333333333	20		
4.59165	18		
4.61163333333333	20		
4.63166666666667	14		
4.65165	13		
4.67165	14		
4.69165	13		
4.71165	21		
4.73165	6		
4.75163333333333	15		
4.77165	16		
4.79165	15		
4.81165	15		
4.83165	18		
4.85165	18		
4.87166666666667	20		
4.89165	20		
4.91166666666667	15		
4.93165	15		
4.95165	15		
4.97165	14		
4.99163333333333	14		
